0,1,2,3,4,5,6,7,8
129,33,161,194,98,132,65,50,138
121,39,162,223,73,140,51,46,145
127,41,152,213,99,126,53,47,142
100,37,153,232,91,119,70,45,153
135,42,157,217,85,136,55,42,131
121,42,173,206,71,136,55,58,138
127,30,145,215,87,141,70,51,134
134,40,178,186,88,143,49,52,130
120,34,141,208,103,133,60,59,142
117,48,165,210,100,127,58,55,120
130,44,174,188,81,128,50,39,166
123,35,155,210,81,145,57,40,154
123,52,160,201,96,129,63,29,147
116,40,168,198,72,132,59,50,165
128,39,156,217,87,125,64,41,143
127,34,153,219,84,123,72,38,150
134,42,183,193,90,144,52,33,129
127,47,159,208,82,132,62,36,147
138,48,165,193,86,129,45,48,148
138,34,155,208,92,124,60,44,145
141,34,174,193,77,150,60,36,135
116,43,171,223,89,140,53,41,124
128,42,162,203,82,135,70,37,141
128,43,160,216,84,132,50,52,135
140,41,166,203,80,134,53,42,141
128,50,160,165,90,138,49,54,166
134,33,144,202,98,129,73,50,137
133,40,157,186,99,126,76,41,142
111,36,140,222,92,153,63,54,129
140,34,167,199,93,135,63,33,136
139,35,155,193,103,129,64,34,148
116,53,162,187,101,141,60,45,135
144,39,154,182,100,130,60,47,144
129,42,154,191,80,161,62,41,140
126,38,145,205,96,138,63,49,140
120,37,161,192,92,158,74,42,124
134,37,156,200,86,136,53,43,155
141,36,178,195,107,115,56,45,127
128,30,171,215,74,149,50,54,129
138,36,152,211,90,143,57,40,133
121,47,160,198,92,145,54,43,140
128,37,159,205,85,120,62,48,156
155,34,163,206,95,117,49,51,130
135,32,156,201,92,128,58,47,151
152,33,146,212,91,134,53,35,144
120,38,165,178,84,143,68,48,156
109,45,149,229,105,122,54,43,144
131,36,176,193,99,138,55,40,132
126,42,157,198,92,138,64,42,141
117,37,180,209,93,111,50,40,163
134,42,161,200,67,144,60,43,149
138,30,162,186,93,140,54,48,149
131,40,162,202,106,131,51,37,140
135,46,171,193,79,134,50,56,136
124,35,159,216,75,153,44,49,145
131,36,141,201,102,140,52,48,149
115,49,155,190,98,147,59,41,146
118,22,150,213,103,134,62,45,153
137,39,150,196,98,139,58,36,147
125,36,189,198,88,116,54,51,143
123,29,181,209,95,128,67,43,125
132,50,148,186,96,134,62,42,150
115,45,148,203,80,138,64,48,159
130,36,169,195,91,150,60,34,135
136,35,162,205,86,145,52,42,137
137,28,156,212,87,134,63,46,137
147,32,167,196,80,141,58,50,129
141,46,140,198,80,153,55,36,151
137,42,150,194,94,145,57,49,132
122,25,174,206,101,126,54,38,154
107,36,160,227,83,141,70,38,138
140,34,159,210,99,141,49,44,124
143,40,161,219,77,138,55,48,119
121,41,156,209,85,126,70,53,139
126,37,173,187,85,141,56,56,139
140,42,154,222,75,131,56,56,124
126,43,154,213,84,130,55,45,150
128,46,140,199,95,134,59,46,153
122,35,154,203,85,118,60,49,174
145,31,146,216,84,114,51,53,160
133,24,162,199,96,127,60,39,160
128,48,148,187,100,133,52,47,157
138,36,150,204,82,127,59,51,153
122,31,158,226,93,135,60,40,135
120,31,180,199,98,127,56,51,138
125,35,141,218,100,132,64,45,140
125,33,188,197,86,141,56,40,134
115,39,162,213,80,143,70,41,137
107,42,159,200,109,130,65,35,153
106,39,144,233,75,147,60,53,143
109,37,155,214,93,125,67,48,152
141,28,159,188,101,130,53,49,151
131,50,151,209,87,143,48,50,131
114,30,162,200,111,124,60,42,157
127,45,155,203,94,125,66,39,146
127,29,142,201,93,151,57,42,158
123,42,156,197,100,125,71,42,144
126,47,156,214,91,126,59,51,130
117,44,153,175,100,159,60,49,143
116,56,160,188,81,135,71,43,150
123,38,166,183,87,142,65,53,143
153,32,172,181,71,149,71,44,127
116,39,160,210,89,131,69,44,142
123,42,161,198,93,135,55,50,143
127,42,167,202,89,135,50,51,137
131,29,173,197,98,142,54,36,140
137,47,152,208,89,121,56,45,145
150,43,164,200,70,151,55,33,134
122,35,166,206,87,146,54,54,130
128,35,162,203,80,138,59,36,159
129,38,155,215,99,129,49,50,136
141,40,151,221,88,127,48,38,146
129,46,164,221,102,120,52,35,131
140,43,151,209,81,140,66,43,127
141,30,148,205,70,142,69,47,148
118,42,156,184,93,144,70,43,150
134,43,166,192,77,135,60,52,141
129,33,152,196,88,140,56,50,156
139,43,171,179,98,115,57,45,153
130,35,147,212,86,139,55,58,138
125,40,126,203,98,145,76,55,132
119,39,162,216,85,140,52,42,145
135,47,151,189,84,120,74,44,156
135,29,172,197,87,132,55,51,142
121,32,170,196,84,136,71,45,145
145,31,158,208,90,126,56,44,142
125,39,153,217,85,128,64,30,159
147,25,166,208,91,123,60,38,142
123,46,164,189,77,140,61,56,144
146,39,162,198,92,98,65,47,153
119,41,184,185,85,146,60,35,145
144,42,151,210,97,137,53,36,130
132,32,180,183,99,125,64,51,134
113,33,165,203,108,145,42,57,134
144,41,163,190,93,127,67,50,125
146,37,165,208,73,135,56,46,134
142,38,149,208,94,124,62,38,145
124,28,172,204,91,141,51,44,145
121,37,152,200,89,136,54,59,152
